payment_sequential,payment_type,payment_installments,payment_value
1,credit_card,8,99.33
1,credit_card,1,24.39
1,credit_card,1,65.71
1,credit_card,8,107.78
1,credit_card,2,128.45
1,credit_card,2,96.12
1,credit_card,1,81.16
1,credit_card,3,51.84
1,credit_card,6,341.09
1,boleto,1,51.95
1,credit_card,8,188.73
1,credit_card,1,141.9
1,credit_card,1,75.78
1,credit_card,5,102.66
1,credit_card,4,105.28
1,credit_card,1,157.45
1,credit_card,1,132.04
1,credit_card,1,98.94
1,credit_card,4,244.15
1,credit_card,3,136.71
1,credit_card,4,47.69
1,credit_card,2,170.57
1,credit_card,4,67.5
1,credit_card,1,353.09
1,boleto,1,330.66
2,voucher,1,45.17
1,credit_card,2,541.0
1,credit_card,2,139.22
1,credit_card,2,290.16
1,boleto,1,283.34
1,credit_card,1,13.78
1,credit_card,1,30.28
1,credit_card,1,26.58
1,credit_card,1,89.68
1,credit_card,1,65.09
1,credit_card,1,173.84
1,credit_card,1,103.49
1,credit_card,1,64.03
1,credit_card,3,157.15
1,boleto,1,130.88
1,credit_card,2,47.72
1,credit_card,8,117.74
1,boleto,1,56.6
1,credit_card,1,266.16
1,boleto,1,31.38
1,credit_card,1,121.49
1,credit_card,1,32.0
1,credit_card,5,153.41
1,credit_card,5,65.71
1,credit_card,4,278.22
1,credit_card,4,91.66
1,credit_card,1,132.51
1,credit_card,4,542.66
1,boleto,1,166.04
1,boleto,1,368.98
1,credit_card,2,113.2
1,credit_card,3,99.43
1,credit_card,2,27.35
1,credit_card,4,43.77
1,credit_card,2,68.49
1,credit_card,2,105.53
1,credit_card,8,387.8
1,boleto,1,84.14
1,credit_card,4,210.82
1,boleto,1,90.05
1,credit_card,1,67.88
1,credit_card,2,37.58
1,boleto,1,89.63
1,voucher,1,69.46
1,credit_card,2,78.3
1,voucher,1,50.8
1,credit_card,1,34.0
1,boleto,1,77.1
1,credit_card,5,566.4
1,credit_card,8,402.42
2,voucher,1,57.53
1,credit_card,3,44.01
1,credit_card,3,187.51
1,credit_card,3,77.7
1,credit_card,1,48.68
1,credit_card,1,77.29
1,credit_card,8,117.71
1,credit_card,3,169.34
1,credit_card,1,37.61
1,credit_card,1,13.8
1,debit_card,1,227.12
1,credit_card,3,34.78
1,credit_card,1,342.56
1,credit_card,7,73.34
1,credit_card,4,117.85
1,credit_card,1,48.62
1,credit_card,1,53.99
1,credit_card,1,51.14
1,credit_card,2,121.45
1,credit_card,1,73.34
1,credit_card,1,117.68
1,credit_card,1,56.77
1,credit_card,2,115.59
1,credit_card,6,60.07
1,credit_card,1,27.27
1,boleto,1,32.15
1,credit_card,3,195.71
2,voucher,1,43.12
1,credit_card,1,88.49
1,credit_card,3,34.09
1,credit_card,1,40.99
1,credit_card,3,71.99
1,boleto,1,47.0
1,credit_card,3,81.78
1,credit_card,3,231.45
1,credit_card,7,144.2
1,debit_card,1,35.14
1,credit_card,1,285.79
1,credit_card,2,176.7
1,credit_card,2,27.63
1,credit_card,8,134.56
1,credit_card,4,96.98
1,credit_card,2,110.03
1,credit_card,1,17.78
1,credit_card,1,44.0
1,credit_card,4,110.11
1,voucher,1,22.49
1,credit_card,4,46.63
1,boleto,1,52.21
1,credit_card,2,61.77
1,boleto,1,121.88
1,credit_card,1,75.75
1,credit_card,1,130.22
1,credit_card,3,57.53
1,credit_card,7,76.02
1,boleto,1,90.17
1,credit_card,1,31.0
1,credit_card,1,106.77
1,voucher,1,163.25
1,boleto,1,233.66
1,credit_card,1,163.08
1,credit_card,4,135.93
1,credit_card,1,267.05
1,credit_card,7,186.72
2,voucher,1,30.0
1,credit_card,4,97.28
1,credit_card,1,48.61
1,boleto,1,116.7
1,credit_card,1,41.42
1,boleto,1,42.19
1,credit_card,6,125.53
1,credit_card,5,92.76
1,credit_card,8,348.02
1,credit_card,2,203.3
1,credit_card,3,44.35
1,credit_card,1,116.05
1,boleto,1,85.14
1,credit_card,4,236.66
1,credit_card,4,220.3
1,credit_card,1,180.55
1,boleto,1,45.46
1,boleto,1,26.08
1,credit_card,1,375.74
1,credit_card,5,123.41
1,credit_card,1,379.07
1,credit_card,1,100.0
1,credit_card,1,45.5
1,credit_card,1,91.17
1,boleto,1,93.26
2,voucher,1,30.0
1,credit_card,1,165.96
2,voucher,1,50.0
1,credit_card,1,100.0
1,boleto,1,116.56
1,credit_card,2,240.52
1,credit_card,3,33.13
1,credit_card,1,213.9
1,credit_card,8,362.17
1,credit_card,2,88.72
1,credit_card,2,46.85
1,boleto,1,68.54
1,boleto,1,32.62
1,credit_card,8,340.08
1,boleto,1,82.06
1,credit_card,1,40.95
1,credit_card,3,67.01
1,voucher,1,20.0
2,voucher,1,76.9
1,credit_card,4,40.27
1,credit_card,8,242.1
1,boleto,1,207.24
1,credit_card,2,215.56
1,credit_card,1,39.92
1,credit_card,8,156.09
1,credit_card,2,131.5
1,boleto,1,137.73
1,credit_card,1,31.75
1,credit_card,8,348.77
1,credit_card,1,12.22
1,credit_card,4,139.87
1,credit_card,1,257.1
1,credit_card,3,269.46
1,credit_card,1,40.0
1,credit_card,1,350.09
2,credit_card,6,134.55
1,credit_card,3,112.73
1,boleto,1,72.05
1,credit_card,1,0.67
1,credit_card,2,77.77
1,credit_card,2,26.68
1,credit_card,1,371.42
1,credit_card,6,225.71
1,credit_card,3,103.79
1,boleto,1,65.0
2,voucher,1,69.8
2,voucher,1,20.09
1,credit_card,1,125.41
1,boleto,1,95.99
1,credit_card,2,25.33
1,credit_card,1,52.57
1,credit_card,2,145.58
1,credit_card,3,49.7
1,credit_card,1,47.43
1,credit_card,2,168.57
1,credit_card,1,133.81
2,voucher,1,1.23
1,boleto,1,123.82
1,credit_card,3,283.66
1,credit_card,1,89.88
1,boleto,1,32.38
1,credit_card,1,43.08
1,credit_card,1,254.58
2,voucher,1,48.91
1,credit_card,4,48.22
1,credit_card,6,67.58
1,credit_card,1,311.18
1,credit_card,4,154.14
1,credit_card,2,333.68
1,boleto,1,404.88
1,boleto,1,44.77
1,voucher,1,100.0
1,credit_card,1,645.8
1,credit_card,1,186.39
1,credit_card,1,208.41
1,debit_card,1,76.39
1,credit_card,2,67.42
1,credit_card,4,232.05
1,boleto,1,69.33
1,credit_card,3,641.2
1,boleto,1,41.86
1,voucher,1,50.0
1,credit_card,1,106.96
1,credit_card,1,100.0
1,boleto,1,69.9
1,boleto,1,88.08
1,credit_card,4,117.39
1,debit_card,1,194.91
1,debit_card,1,68.89
1,credit_card,2,151.51
1,credit_card,1,54.85
1,credit_card,1,103.68
1,debit_card,1,225.63
1,boleto,1,39.6
1,credit_card,1,159.18
1,credit_card,1,234.43
1,boleto,1,44.83
1,credit_card,4,205.44
1,credit_card,1,13.55
1,credit_card,1,221.96
1,credit_card,1,52.38
1,credit_card,9,131.47
1,credit_card,2,38.06
2,voucher,1,35.0
1,credit_card,3,143.65
1,credit_card,3,86.73
1,credit_card,5,118.35
1,credit_card,1,341.58
1,credit_card,2,105.42
1,credit_card,4,68.16
1,credit_card,1,357.97
