seller_zip_code_prefix,seller_city,seller_state
13023,campinas,SP
13844,mogi guacu,SP
20031,rio de janeiro,RJ
4195,sao paulo,SP
12914,braganca paulista,SP
20920,rio de janeiro,RJ
55325,brejao,PE
16304,penapolis,SP
1529,sao paulo,SP
80310,curitiba,PR
75110,anapolis,GO
13530,itirapina,SP
1222,sao paulo,SP
5372,sao paulo,SP
88705,tubarao,SC
42738,lauro de freitas,BA
88780,imbituba,SC
70740,brasilia,DF
45810,porto seguro,BA
5138,sao paulo,SP
11440,guaruja,SP
14910,tabatinga,SP
4156,sao paulo,SP
13320,salto,SP
98910,tres de maio,RS
30494,belo horizonte,MG
86707,arapongas,PR
9850,sao bernardo do campo,SP
4857,sao paulo,SP
18500,tatui,SP
80210,curitiba,PR
2261,sao paulo,SP
88495,garopaba,SC
3562,sao paulo,SP
37650,camanducaia,MG
17602,tupa,SP
7241,guarulhos,SP
83050,sao jose dos pinhais,PR
3445,sao paulo,SP
4133,sao paulo,SP
72233,brasilia,DF
70645,brasilia,DF
88730,sao ludgero,SC
88075,sao jose,SC
13416,piracicaba,SP
90850,porto alegre,RS
37584,congonhal,MG
31950,belo horizonte,MG
31555,belo horizonte,MG
9251,santo andre,SP
4705,sao paulo,SP
6144,osasco,SP
13270,valinhos,SP
89214,joinville,SC
11446,guaruja,SP
28990,saquarema,RJ
88390,barra velha,SC
25730,petropolis,RJ
95500,santo antonio da patrulha,RS
84010,ponta grossa,PR
6544,santana de parnaiba,SP
9121,santo andre,SP
13568,sao carlos,SP
6056,osasco,SP
14940,ibitinga,SP
5741,sao paulo,SP
83010,sao jose dos pinhais,PR
3702,sao paulo,SP
6429,barueri,SP
6192,osasco,SP
95076,caxias do sul,SP
3569,sao paulo,SP
89207,joinville,SC
38440,araguari,MG
32180,contagem,MG
89258,jaragua do sul,SC
14940,ibitinga,SP
9715,sao bernardo do campo,SP
88501,lages  sc,SC
95711,bento goncalves,RS
15805,catanduva,SP
9400,ribeirao pires,SP
4726,sao paulo,SP
14882,jaboticabal,SP
19830,echapora,SP
6713,cotia,SP
89160,rio do sul,SC
4275,sao paulo,SP
18040,sorocaba,SP
21235,rio de janeiro,RJ
14850,pradopolis,SP
22420,rio de janeiro,RJ
1125,sao paulo,SP
24813,itaborai,RJ
5786,sao paulo,SP
15137,mirassol,SP
9190,santo andre,SP
16200,birigui,SP
3569,sao paulo,SP
31730,belo horizonte,MG
20785,rio de janeiro,RJ
20060,rio de janeiro,RJ
14940,ibitinga,SP
12401,sao paulo,SP
1425,sao paulo,SP
19803,assis,SP
13820,jaguariuna,SP
14801,araraquara,SP
27963,macae,RJ
13320,salto,SP
13504,rio claro,SP
86039,londrina,PR
5101,sao paulo,SP
14010,ribeirao preto,SP
21210,rio de janeiro,RN
37410,tres coracoes,MG
4248,sao paulo,SP
15190,nhandeara,SP
14940,ibitinga,SP
3514,sao paulo,SP
71070,brasilia,DF
6465,barueri,SP
1044,sao paulo,SP
88870,orleans,SC
70384,brasilia,DF
2310,sao paulo,SP
2016,sao paulo,SP
78095,cuiaba,MT
13575,sao carlos,SP
1040,sao paulo,SP
3322,sao paulo,SP
20261,rio de janeiro,RJ
85830,formosa do oeste,PR
23550,rio de janeiro,RJ
11085,santos,SP
3417,sao paulo,SP
76500,santa terezinha de goias,GO
81210,curitiba,PR
8260,sao paulo,SP
95995,arvorezinha,RS
4674,sao paulo,SP
14020,ribeirao preto,SP
36525,guiricema,MG
95072,caxias do sul,RS
55004,caruaru,PE
80045,curitiba,PR
14401,franca,SP
81030,curitiba,PR
40243,salvador,BA
9951,diadema,SP
8573,itaquaquecetuba,SP
18682,lencois paulista,SP
7091,guarulhos,SP
6341,carapicuiba,SP
76400,uruacu,GO
88301,itajai,SC
3280,sao paulo,SP
1545,sao paulo,SP
1026,sao paulo,SP
80620,curitiba,PR
87900,loanda,PR
3186,sao paulo,SP
19400,sao paulo,SP
2839,sao paulo,SP
87014,maringa,PR
1207,sao paulo,SP
1411,sao paulo,SP
30190,belo horizonte,MG
8502,ferraz de vasconcelos,SP
1541,sao paulo,SP
13481,limeira,SP
11040,santos,SP
6436,barueri,SP
2310,sao paulo,SP
35530,claudio,MG
14080,ribeirao preto,SP
24355,niteroi,RJ
17700,osvaldo cruz,SP
6380,carapicuiba,SP
6016,osasco,SP
24451,sao goncalo,RJ
78820,jaciara,MT
88330,balenario camboriu,SC
4009,sao paulo,SP
89120,timbo,SC
14075,ribeirao preto,SP
5424,sao paulo,SP
99730,jacutinga,RS
60440,fortaleza,CE
7242,guarulhos,SP
7051,guarulhos,SP
8517,ferraz de vasconcelos,SP
16800,mirandopolis,SP
89228,joinville,SC
30421,belo horizonte,MG
17056,bauru,SP
12308,jacarei,SP
13304,itu,SP
85301,laranjeiras do sul,SP
3554,sao paulo,SP
89560,videira,SC
88058,florianopolis,SC
6853,itapecerica da serra,SP
58280,mamanguape,PB
8490,sao paulo,SP
35430,ponte nova,MG
87360,goioere,SP
17280,pederneiras,SP
6653,itapevi,SP
74563,goiania,GO
4821,sao paulo,SP
